"ID" "block" "cond" "N" "accuracy" "sd" "se" "ci"
"56" 4 11 "nrep" 15 0.866666666666667 0.351865775274498 0.0908513525158996 0.194856771455429
"57" 4 12 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"58" 4 13 "nrep" 15 1 0 0 0
"59" 4 14 "nrep" 15 1 0 0 0
"60" 4 15 "nrep" 15 1 0 0 0
"61" 5 1 "nrep" 15 0.666666666666667 0.487950036474267 0.125988157669742 0.270217723405353
"62" 5 2 "nrep" 15 0.533333333333333 0.516397779494322 0.133333333333333 0.28597155838904
"63" 5 3 "nrep" 15 0.8 0.414039335605413 0.10690449676497 0.229287341540059
"64" 5 4 "nrep" 15 1 0 0 0
"65" 5 5 "nrep" 15 1 0 0 0
"66" 5 6 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"67" 5 7 "nrep" 15 1 0 0 0
"68" 5 8 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"69" 5 9 "nrep" 15 1 0 0 0
"70" 5 10 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"71" 5 11 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"72" 5 12 "nrep" 15 1 0 0 0
"73" 5 13 "nrep" 15 0.933333333333333 0.258198889747161 0.0666666666666667 0.14298577919452
"74" 5 14 "nrep" 15 1 0 0 0
"75" 5 15 "nrep" 15 1 0 0 0
"76" 6 1 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"77" 6 2 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"78" 6 3 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"79" 6 4 "nrep" 15 0.4 0.50709255283711 0.130930734141595 0.280818495626199
"80" 6 5 "nrep" 15 0.466666666666667 0.516397779494322 0.133333333333333 0.28597155838904
"81" 6 6 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
"82" 6 7 "nrep" 15 0.266666666666667 0.457737708217063 0.118187368057056 0.253486693688815
